mass0,mass0_5,mass1_0,mass1_5,mass2,time_minutes
0.66280514,0.692232847,1.317662358,1.934593439,2.318811417,13.1865
0.658330083,0.68977654,1.319535732,1.943474293,2.318294764,13.188
0.665364742,0.687301099,1.317623734,1.947614312,2.31874609,13.1895
0.662997305,0.688575029,1.323159099,1.951037407,2.32270503,13.191
0.661646545,0.687032044,1.332001448,1.95057869,2.316911697,13.1925
0.66295886,0.682852626,1.339190245,1.947930574,2.311383486,13.194
0.657705069,0.676255345,1.346579313,1.944087625,2.318140507,13.1955
0.654277802,0.675998151,1.353432655,1.93807435,2.325741768,13.197
0.661055326,0.680081546,1.356319785,1.939288497,2.32665205,13.1985
0.670231521,0.676654339,1.353806853,1.939249873,2.325314522,13.2
0.671743274,0.673265576,1.348846078,1.942996502,2.31836462,13.2015
0.67201972,0.669201434,1.346656561,1.947718263,2.31095624,13.203
0.673048258,0.666545689,1.3493433,1.949610949,2.305162668,13.2045
0.666984558,0.660823286,1.351293921,1.949630022,2.299808264,13.206
0.669010699,0.657511413,1.353282928,1.942537904,2.30402565,13.2075
0.672817707,0.657170057,1.35357976,1.931382775,2.311576843,13.209
0.674721181,0.65352416,1.353895903,1.930801034,2.31556201,13.2105
0.674007356,0.651846647,1.351363659,1.931194425,2.31807518,13.212
0.679955781,0.65321666,1.345350504,1.923023105,2.321582794,13.2135
0.68100363,0.652272224,1.343638897,1.925089359,2.324754715,13.215
0.675776303,0.654041171,1.346190572,1.925004721,2.323883295,13.2165
0.673642159,0.657153547,1.343149066,1.917731404,2.318729639,13.218
0.675307751,0.657809734,1.334965825,1.916251421,2.325039625,13.2195
0.679429591,0.663140416,1.332517982,1.922199368,2.329082966,13.221
0.681912303,0.667795718,1.332001448,1.933482289,2.328778744,13.2225
0.684633017,0.668471098,1.335088849,1.938054204,2.328339577,13.224
0.686916292,0.668985367,1.338118434,1.931833267,2.328061819,13.2255
0.682974815,0.673993945,1.345908403,1.931883812,2.331827641,13.227
0.685592055,0.67755574,1.346968174,1.930997849,2.339991808,13.2285
0.687599003,0.680011988,1.353382111,1.926765919,2.343576431,13.23
0.687188089,0.678726196,1.353782892,1.924388051,2.348232985,13.2315
0.688416183,0.685619056,1.352329731,1.922468781,2.352488756,13.233
0.690377355,0.686635733,1.347789049,1.919593692,2.352508068,13.2345
0.694917381,0.684378982,1.346994877,1.922893524,2.351544857,13.236
0.697952867,0.680829167,1.350702763,1.920974255,2.354940891,13.2375
0.697856784,0.680829167,1.360165596,1.914753318,2.358564377,13.239
0.692441881,0.685933828,1.359390736,1.920242667,2.362839699,13.2405
0.691252232,0.686736465,1.358932018,1.921888947,2.361856937,13.242
0.693766117,0.681244731,1.361399174,1.925686002,2.362986565,13.2435
0.700942636,0.679122448,1.366972923,1.933326125,2.362701654,13.245
0.700435638,0.68138653,1.370538473,1.938318133,2.359220743,13.2465
0.693903327,0.67980516,1.365739465,1.942631841,2.356553316,13.248
0.689190388,0.676731229,1.353971243,1.938561797,2.35438323,13.2495
0.685936153,0.671104908,1.342719793,1.935867667,2.352258921,13.251
0.686822891,0.663974166,1.339115739,1.942513347,2.349017143,13.2525
0.689233422,0.65995574,1.338101864,1.943662286,2.342352152,13.254
0.685676277,0.659030557,1.341686726,1.943835974,2.336585283,13.2555
0.687134981,0.658972859,1.341408968,1.946800351,2.339854002,13.257
0.691828787,0.655468762,1.344716191,1.953052521,2.341572762,13.2585
0.687829614,0.651822805,1.341990948,1.955958962,2.339803219,13.26
0.684820652,0.650832653,1.342094779,1.95814836,2.336522818,13.2615
0.684229434,0.650498629,1.346758604,1.95987916,2.329703569,13.263
0.683419526,0.64721328,1.346403718,1.968521237,2.32343936,13.2645
0.679271221,0.645470858,1.337025404,1.977201819,2.325228214,13.266
0.675644517,0.643118024,1.337962151,1.976562023,2.322599173,13.2675
0.67978549,0.645048022,1.341909051,1.967422724,2.321882248,13.269
0.679244697,0.649960518,1.339661717,1.959736705,2.3195889,13.2705
0.671964705,0.650075793,1.337730408,1.953503728,2.318517208,13.272
0.673308134,0.647915125,1.336716652,1.954382539,2.318343639,13.2735
0.675403833,0.641993284,1.344525933,1.953310728,2.32719779,13.275
0.681229651,0.641459823,1.356875896,1.960900307,2.328192472,13.2765
0.684503078,0.640553772,1.359685659,1.967992544,2.327572107,13.278
0.681398034,0.644637108,1.354331493,1.970983505,2.329063892,13.2795
0.681566358,0.647523522,1.347601414,1.971823692,2.333280802,13.281
0.684325516,0.654017329,1.346923113,1.968458533,2.33722043,13.2825
0.685411811,0.658492386,1.345728159,1.968219638,2.341094732,13.284
0.687572479,0.662241697,1.344552517,1.971881628,2.343134403,13.2855
0.694626331,0.665534377,1.352735996,1.974090219,2.342934132,13.287
0.696169317,0.669514358,1.349906683,1.983191133,2.348222971,13.2885
0.689545512,0.67170608,1.34632194,1.987215161,2.355423689,13.29
0.688889384,0.674457908,1.342594743,1.985102892,2.354371309,13.2915
0.693455935,0.679512262,1.342432976,1.97960639,2.348804951,13.293
0.69671011,0.684309483,1.352011561,1.987253785,2.351691961,13.2945
0.691643894,0.684842944,1.353503466,2.000513792,2.358861446,13.296
0.692203939,0.686669588,1.354478717,2.008993864,2.360761166,13.2975
0.690898955,0.688676476,1.357126832,2.012436152,2.360884666,13.299
0.688043714,0.688714981,1.357623935,2.017273664,2.364145756,13.3005
0.69258374,0.689666688,1.348361611,2.018785,2.362615108,13.302
0.699837148,0.688123703,1.339357376,2.011912346,2.365483046,13.3035
0.705939353,0.686773002,1.345312715,2.010813713,2.368131161,13.305
0.714677989,0.686059237,1.355427265,2.008798122,2.375532389,13.3065
0.714555383,0.685069025,1.357817054,2.006265879,2.379568338,13.308
0.713803172,0.678529441,1.351325989,2.009172201,2.378153801,13.3095
0.714992821,0.676111579,1.349633813,2.011439085,2.36948061,13.311
0.709854305,0.675808668,1.353677034,2.007214308,2.367969513,13.3125
0.712490797,0.66916573,1.356009007,2.007569313,2.369700432,13.314
0.72389257,0.671069145,1.361841202,2.005553484,2.369345427,13.3155
0.736753047,0.673667252,1.364547253,2.003240824,2.37033987,13.317
0.741343439,0.675409675,1.370521784,2.002103806,2.378219128,13.3185
0.747142673,0.673525453,1.374087214,2.003911972,2.385161638,13.32
0.751103401,0.672239661,1.370043874,1.997775555,2.376075506,13.3215
0.752466083,0.672638655,1.365044475,1.991639137,2.369791985,13.323
0.755102575,0.666041374,1.36173737,1.98743391,2.366562128,13.3245
0.760517478,0.664318204,1.356938362,1.983610153,2.370178223,13.326
0.766542733,0.666041374,1.355543017,1.979405046,2.371643305,13.3275
0.764382124,0.669365168,1.358688354,1.976911426,2.369608402,13.329
0.760697722,0.674277663,1.362951517,1.982801318,2.370286465,13.3305
0.754730105,0.674914598,1.362234592,1.985345602,2.37122345,13.332
0.751122653,0.670850515,1.36510241,1.982154369,2.366528034,13.3335
0.749695003,0.669660807,1.373046756,1.985874176,2.363802671,13.335
0.745611668,0.673126459,1.377645373,1.988800049,2.362892866,13.3365
0.74030751,0.670251966,1.384414077,1.987146258,2.366257906,13.338
0.736430943,0.665082335,1.388315082,1.98186934,2.365664005,13.3395
0.730424881,0.668870091,1.378775001,1.973427773,2.369410515,13.341
0.719640851,0.670251966,1.377838373,1.97378993,2.369229555,13.3425
0.709339976,0.666702151,1.375467896,1.970386147,2.36773777,13.344
0.701714158,0.667596221,1.373613954,1.967938542,2.367498636,13.3455
0.692023695,0.667396724,1.377753854,1.967105746,2.361550808,13.347
0.692088664,0.663628221,1.378787041,1.966874123,2.367672443,13.3485
0.693439364,0.663563251,1.381693363,1.969290614,2.368917942,13.35
0.694487214,0.666829348,1.385575175,1.972385287,2.364365578,13.3515
0.693631589,0.663517475,1.388998032,1.974266052,2.360691547,13.353
0.688139856,0.65906167,1.392201424,1.966290355,2.352696419,13.3545
0.684037268,0.657576323,1.39014709,1.966123939,2.354415417,13.356
0.679992318,0.657871962,1.391257286,1.959705472,2.355829954,13.3575
0.677375019,0.66212827,1.392529488,1.951375008,2.355829954,13.359
0.671664536,0.665973723,1.387349129,1.953081727,2.352503538,13.3605
0.671188712,0.667163372,1.385753393,1.949531078,2.345322132,13.362
0.677432656,0.666990399,1.387981534,1.94289279,2.340064287,13.3635
0.685058594,0.670283079,1.38226521,1.936331749,2.338538408,13.365
0.692787826,0.675195575,1.377763033,1.939079165,2.336283922,13.3665
0.700106204,0.67695725,1.378537893,1.940979123,2.331161499,13.368
0.703103304,0.676700056,1.379971862,1.934094667,2.334881306,13.3695
0.703694522,0.679908574,1.376387119,1.934417963,2.3344419,13.371
0.714060307,0.680994868,1.374953151,1.936156154,2.323552608,13.3725
0.718182087,0.683412671,1.375650883,1.937932849,2.319883108,13.374
0.716554999,0.686467409,1.37869978,1.939728975,2.312539816,13.3755
0.712985933,0.68684721,1.38081193,1.937443018,2.312412024,13.377
0.717249572,0.68594116,1.377388954,1.938502789,2.317604542,13.3785
0.720542252,0.68818599,1.372493505,1.947028995,2.316344261,13.38
0.729011893,0.689974189,1.368553877,1.956033111,2.327110529,13.3815
0.736503184,0.688077986,1.375387907,1.959540725,2.325773239,13.383
0.735493779,0.683583736,1.378675818,1.959721684,2.318449259,13.3845
0.730961084,0.68053633,1.374077201,1.963325739,2.31673789,13.386
0.733958185,0.678260326,1.370415211,1.958843112,2.326470852,13.3875
0.735765576,0.676698208,1.363388181,1.955555081,2.327858686,13.389
0.736556292,0.675623834,1.355644226,1.952726007,2.329227448,13.3905
0.73691684,0.674967647,1.355586171,1.961587667,2.331450939,13.392
0.735393107,0.673263669,1.354314208,1.95372045,2.331554651,13.3935
0.731727958,0.674196243,1.357582808,1.953959465,2.331774473,13.395
0.726892352,0.673090696,1.354695559,1.958222628,2.328416586,13.3965
0.723227203,0.67416507,1.356368423,1.963938951,2.328042507,13.398
0.718629599,0.676068544,1.360889792,1.964235783,2.331943512,13.3995
0.722044826,0.676325738,1.355373979,1.963757873,2.331904888,13.401
0.721434474,0.676402628,1.348223805,1.965689063,2.330536366,13.4025
0.718997419,0.675907493,1.348424077,1.966425419,2.328127146,13.404
0.715389967,0.679630339,1.354579687,1.957602143,2.329206467,13.4055
0.717788517,0.67791903,1.359081864,1.947306633,2.328897476,13.407
0.71691364,0.679481149,1.360457778,1.937727809,2.320146799,13.4085
0.717036307,0.68585968,1.354463935,1.937469721,2.315193415,13.41
0.721641243,0.690495849,1.352513552,1.931915283,2.31525135,13.4115
0.732425272,0.689524829,1.355801344,1.920547724,2.307927608,13.413
0.740611196,0.690553427,1.357913613,1.921865702,2.301204681,13.4145
0.74828285,0.691010118,1.364107847,1.925334811,2.304635048,13.416
0.74798727,0.692560375,1.369307637,1.927589536,2.307845592,13.4175
0.74303633,0.696682155,1.373112082,1.923830986,2.308620453,13.419
0.736316442,0.701936007,1.379267812,1.927939653,2.308077097,13.4205
0.734412968,0.703202546,1.379946113,1.928980112,2.309989214,13.422
0.740760386,0.705516934,1.378195882,1.91972518,2.309118032,13.4235
0.745281219,0.705574632,1.381464362,1.910211682,2.314691544,13.425
0.743815124,0.704507589,1.385488629,1.903269172,2.320156813,13.4265
0.744149148,0.702546358,1.393278599,1.898296475,2.321436644,13.428
0.745389163,0.701794147,1.395830035,1.897386551,2.326945066,13.4295
0.748597622,0.703858733,1.396088481,1.894345045,2.322882175,13.431
0.744951725,0.702193141,1.390830874,1.890366912,2.31619072,13.4325
0.734701276,0.702335,1.386012554,1.899791121,2.313658476,13.434
0.731466174,0.700373888,1.384119868,1.906347513,2.31436801,13.4355
0.730192363,0.69544208,1.381672144,1.90121305,2.315000534,13.437
0.736854553,0.69566083,1.37922442,1.894902825,2.31226778,13.4385
0.729781449,0.69566083,1.377273917,1.896995783,2.31552887,13.44
0.719261885,0.692928195,1.380619764,1.894070148,2.315386772,13.4415
0.710972548,0.697783053,1.381317377,1.889729738,2.315741301,13.443
0.707165599,0.703171372,1.38442421,1.888974309,2.325570822,13.4445
0.709287763,0.701705337,1.383687973,1.888315201,2.327275038,13.446
0.713275075,0.698926985,1.381814718,1.879912138,2.331757784,13.4475
0.711571038,0.695377171,1.38414669,1.875332832,2.331641912,13.449
0.711371541,0.689455271,1.384327769,1.883658648,2.333688974,13.4505
0.709706008,0.682124972,1.37548542,1.889432907,2.323374033,13.452
0.703062952,0.675823331,1.365351439,1.885828972,2.315834999,13.4535
0.699731827,0.676479459,1.364731073,1.889594555,2.322099209,13.455
0.702111244,0.678382993,1.370983124,1.888361096,2.32164073,13.4565
0.705918193,0.680401802,1.375523925,1.890951276,2.325561047,13.458
0.712219894,0.680704713,1.377913713,1.893502951,2.334299326,13.4595
0.48,0.682170749,1.380800843,1.886772752,2.340744734,13.461
0.727447867,0.680485964,1.38731122,1.879861712,2.345220089,13.4625
0.724200904,0.682228386,1.391794086,1.87820816,2.348519802,13.464
0.727570415,0.682266831,1.392233491,1.881095171,2.354371309,13.4655
0.734148502,0.686484694,1.389843583,1.88657248,2.358052492,13.467
0.744353235,0.694129825,1.384824991,1.892508388,2.362793684,13.4685
0.746083796,0.695833802,1.375523925,1.896035314,2.366158724,13.47
0.744617701,0.699280262,1.369884849,1.89022243,2.362600565,13.4715
0.751947999,0.698309302,1.360344768,1.886101961,2.353210449,13.473
0.756250083,0.692844033,1.353375673,1.888214111,2.343457937,13.4745
0.750854373,0.691120863,1.35275507,1.885804892,2.338975191,13.476
0.753130376,0.691988349,1.355958462,1.880508661,2.332503319,13.4775
0.754223943,0.692978621,1.362430334,1.877363324,2.330572367,13.479
0.752957404,0.694836318,1.367765188,1.886406064,2.326439619,13.4805
0.754764795,0.692656457,1.364878178,1.887859225,2.325329065,13.482
0.748585761,0.690457344,1.360298872,1.888156056,2.330089569,13.4835
0.742959499,0.686631203,1.360040426,1.882019877,2.339622259,13.485
0.736857295,0.68541491,1.362707853,1.882097006,2.338750839,13.4865
0.730394602,0.68653965,1.369399548,1.885022759,2.33742094,13.488
0.728015184,0.690404296,1.375335455,1.883608103,2.335134983,13.4895
0.728207409,0.687710166,1.380153775,1.881515145,2.327359676,13.491
0.721480191,0.685948491,1.386644959,1.882968545,2.325597525,13.4925
0.713068247,0.684206069,1.393116832,1.882891178,2.326495647,13.494
0.706444442,0.680817306,1.394330978,1.876639009,2.329375505,13.4955
0.703865588,0.671422422,1.391702175,1.873590112,2.329329491,13.497
0.69983989,0.666901588,1.391644359,1.878350496,2.326014757,13.4985
0.693795383,0.670328856,1.398277879,1.878292561,2.326801538,13.5
0.689550936,0.673241735,1.40166235,1.87771821,2.328421354,13.5015
0.695158005,0.67455405,1.40070641,1.878299832,2.326567411,13.503
0.700450301,0.675275207,1.405725002,1.877964377,2.328536987,13.5045
0.708732307,0.680824578,1.40570569,1.873107553,2.329357862,13.506
0.715471387,0.684297562,1.404271841,1.863929629,2.337360144,13.5075
0.712731481,0.689943075,1.407636762,1.859014988,2.334511757,13.509
0.712570429,0.691820025,1.405285716,1.857885242,2.332734823,13.5105
0.716531157,0.691678166,1.403154016,1.860263109,2.330364466,13.512
0.716826797,0.689286947,1.393775821,1.854993463,2.333664417,13.5135
0.721443653,0.685583353,1.385611773,1.854723334,2.334878445,13.515
0.719739676,0.680805326,1.375057936,1.860963345,2.334381342,13.5165
